group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Red_Black_Tree_delete,,10000,,,89334768.0,ns,84
Red_Black_Tree_delete,,10000,,,178041486.0,ns,168
Red_Black_Tree_delete,,10000,,,265846046.0,ns,252
Red_Black_Tree_delete,,10000,,,354484104.0,ns,336
Red_Black_Tree_delete,,10000,,,443069616.0,ns,420
Red_Black_Tree_delete,,10000,,,543456123.0,ns,504
Red_Black_Tree_delete,,10000,,,634511143.0,ns,588
Red_Black_Tree_delete,,10000,,,710388555.0,ns,672
Red_Black_Tree_delete,,10000,,,810263346.0,ns,756
Red_Black_Tree_delete,,10000,,,886224694.0,ns,840
