group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Red_Black_Tree,,10000,,,1886961.0,ns,2
Red_Black_Tree,,10000,,,3846567.0,ns,4
Red_Black_Tree,,10000,,,5728054.0,ns,6
Red_Black_Tree,,10000,,,7657092.0,ns,8
Red_Black_Tree,,10000,,,9459727.0,ns,10
Red_Black_Tree,,10000,,,11411291.0,ns,12
Red_Black_Tree,,10000,,,13385724.0,ns,14
Red_Black_Tree,,10000,,,15211651.0,ns,16
Red_Black_Tree,,10000,,,17091867.0,ns,18
Red_Black_Tree,,10000,,,19006318.0,ns,20
Red_Black_Tree,,10000,,,20828176.0,ns,22
Red_Black_Tree,,10000,,,22811333.0,ns,24
Red_Black_Tree,,10000,,,24838524.0,ns,26
Red_Black_Tree,,10000,,,26827200.0,ns,28
Red_Black_Tree,,10000,,,28664087.0,ns,30
Red_Black_Tree,,10000,,,30629531.0,ns,32
Red_Black_Tree,,10000,,,32614370.0,ns,34
Red_Black_Tree,,10000,,,34444512.0,ns,36
Red_Black_Tree,,10000,,,36164896.0,ns,38
Red_Black_Tree,,10000,,,38088817.0,ns,40
Red_Black_Tree,,10000,,,40072488.0,ns,42
Red_Black_Tree,,10000,,,41984465.0,ns,44
Red_Black_Tree,,10000,,,43644140.0,ns,46
Red_Black_Tree,,10000,,,45744461.0,ns,48
Red_Black_Tree,,10000,,,47585537.0,ns,50
Red_Black_Tree,,10000,,,49310504.0,ns,52
Red_Black_Tree,,10000,,,51273914.0,ns,54
Red_Black_Tree,,10000,,,53126001.0,ns,56
Red_Black_Tree,,10000,,,55286975.0,ns,58
Red_Black_Tree,,10000,,,57170628.0,ns,60
Red_Black_Tree,,10000,,,58964452.0,ns,62
Red_Black_Tree,,10000,,,60767571.0,ns,64
Red_Black_Tree,,10000,,,62625532.0,ns,66
Red_Black_Tree,,10000,,,64767730.0,ns,68
Red_Black_Tree,,10000,,,66920820.0,ns,70
Red_Black_Tree,,10000,,,68685489.0,ns,72
Red_Black_Tree,,10000,,,70350000.0,ns,74
Red_Black_Tree,,10000,,,72304691.0,ns,76
Red_Black_Tree,,10000,,,74095916.0,ns,78
Red_Black_Tree,,10000,,,75913518.0,ns,80
Red_Black_Tree,,10000,,,78093600.0,ns,82
Red_Black_Tree,,10000,,,80036079.0,ns,84
Red_Black_Tree,,10000,,,81563213.0,ns,86
Red_Black_Tree,,10000,,,83811419.0,ns,88
Red_Black_Tree,,10000,,,85561756.0,ns,90
Red_Black_Tree,,10000,,,87562500.0,ns,92
Red_Black_Tree,,10000,,,89615214.0,ns,94
Red_Black_Tree,,10000,,,91254886.0,ns,96
Red_Black_Tree,,10000,,,93048033.0,ns,98
Red_Black_Tree,,10000,,,95081032.0,ns,100
Red_Black_Tree,,10000,,,97152437.0,ns,102
Red_Black_Tree,,10000,,,98212657.0,ns,104
Red_Black_Tree,,10000,,,100951491.0,ns,106
Red_Black_Tree,,10000,,,102877547.0,ns,108
Red_Black_Tree,,10000,,,104524648.0,ns,110
Red_Black_Tree,,10000,,,106492894.0,ns,112
Red_Black_Tree,,10000,,,108599140.0,ns,114
Red_Black_Tree,,10000,,,110319389.0,ns,116
Red_Black_Tree,,10000,,,112126756.0,ns,118
Red_Black_Tree,,10000,,,113759044.0,ns,120
Red_Black_Tree,,10000,,,116102410.0,ns,122
Red_Black_Tree,,10000,,,118468606.0,ns,124
Red_Black_Tree,,10000,,,119782244.0,ns,126
Red_Black_Tree,,10000,,,121950571.0,ns,128
Red_Black_Tree,,10000,,,123710756.0,ns,130
Red_Black_Tree,,10000,,,125941030.0,ns,132
Red_Black_Tree,,10000,,,127375038.0,ns,134
Red_Black_Tree,,10000,,,129511360.0,ns,136
Red_Black_Tree,,10000,,,131428195.0,ns,138
Red_Black_Tree,,10000,,,133311378.0,ns,140
Red_Black_Tree,,10000,,,134913569.0,ns,142
Red_Black_Tree,,10000,,,137445962.0,ns,144
Red_Black_Tree,,10000,,,138779826.0,ns,146
Red_Black_Tree,,10000,,,140857771.0,ns,148
Red_Black_Tree,,10000,,,142934549.0,ns,150
Red_Black_Tree,,10000,,,144801063.0,ns,152
Red_Black_Tree,,10000,,,146871602.0,ns,154
Red_Black_Tree,,10000,,,148411888.0,ns,156
Red_Black_Tree,,10000,,,150765602.0,ns,158
Red_Black_Tree,,10000,,,152505380.0,ns,160
Red_Black_Tree,,10000,,,154170079.0,ns,162
Red_Black_Tree,,10000,,,156057273.0,ns,164
Red_Black_Tree,,10000,,,158088650.0,ns,166
Red_Black_Tree,,10000,,,159807802.0,ns,168
Red_Black_Tree,,10000,,,162168643.0,ns,170
Red_Black_Tree,,10000,,,164025025.0,ns,172
Red_Black_Tree,,10000,,,165719479.0,ns,174
Red_Black_Tree,,10000,,,167556937.0,ns,176
Red_Black_Tree,,10000,,,168885856.0,ns,178
Red_Black_Tree,,10000,,,171462642.0,ns,180
Red_Black_Tree,,10000,,,173332652.0,ns,182
Red_Black_Tree,,10000,,,175371992.0,ns,184
Red_Black_Tree,,10000,,,177628255.0,ns,186
Red_Black_Tree,,10000,,,179574224.0,ns,188
Red_Black_Tree,,10000,,,180942755.0,ns,190
Red_Black_Tree,,10000,,,183406271.0,ns,192
Red_Black_Tree,,10000,,,184881656.0,ns,194
Red_Black_Tree,,10000,,,186936727.0,ns,196
Red_Black_Tree,,10000,,,189226836.0,ns,198
Red_Black_Tree,,10000,,,190802900.0,ns,200
