group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Red Black Tree,,,,,91745500.0,ns,213
Red Black Tree,,,,,202385500.0,ns,426
Red Black Tree,,,,,202908500.0,ns,639
Red Black Tree,,,,,311424800.0,ns,852
Red Black Tree,,,,,551109900.0,ns,1065
Red Black Tree,,,,,96408716000.0,ns,1278
Red Black Tree,,,,,27426067200.0,ns,1491
Red Black Tree,,,,,33231173300.0,ns,1704
Red Black Tree,,,,,38684978200.0,ns,1917
Red Black Tree,,,,,504382200.0,ns,2130
