group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Red_Black_Tree,,70000,,,87151354.0,ns,4
Red_Black_Tree,,70000,,,66159120.0,ns,4
Red_Black_Tree,,70000,,,68764555.0,ns,4
Red_Black_Tree,,70000,,,191252432.0,ns,4
Red_Black_Tree,,70000,,,99052328.0,ns,4
Red_Black_Tree,,70000,,,90117826.0,ns,4
Red_Black_Tree,,70000,,,121596888.0,ns,4
Red_Black_Tree,,70000,,,40584542.0,ns,4
Red_Black_Tree,,70000,,,86503654.0,ns,4
Red_Black_Tree,,70000,,,158155102.0,ns,4
Red_Black_Tree,,70000,,,128577565.0,ns,4
Red_Black_Tree,,70000,,,113695801.0,ns,4
Red_Black_Tree,,70000,,,125663915.0,ns,4
Red_Black_Tree,,70000,,,68470693.0,ns,4
Red_Black_Tree,,70000,,,75144610.0,ns,4
Red_Black_Tree,,70000,,,199358596.0,ns,4
Red_Black_Tree,,70000,,,272870592.0,ns,4
Red_Black_Tree,,70000,,,58505290.0,ns,4
Red_Black_Tree,,70000,,,168530905.0,ns,4
Red_Black_Tree,,70000,,,195255716.0,ns,4
Red_Black_Tree,,70000,,,367370506.0,ns,4
Red_Black_Tree,,70000,,,552364874.0,ns,4
Red_Black_Tree,,70000,,,478230027.0,ns,4
Red_Black_Tree,,70000,,,1799863051.0,ns,4
Red_Black_Tree,,70000,,,43151303.0,ns,4
Red_Black_Tree,,70000,,,81195666.0,ns,4
Red_Black_Tree,,70000,,,261559939.0,ns,4
Red_Black_Tree,,70000,,,601298849.0,ns,4
Red_Black_Tree,,70000,,,81836346.0,ns,4
Red_Black_Tree,,70000,,,262990006.0,ns,4
Red_Black_Tree,,70000,,,277712336.0,ns,4
Red_Black_Tree,,70000,,,354059900.0,ns,4
Red_Black_Tree,,70000,,,844772810.0,ns,4
Red_Black_Tree,,70000,,,466043969.0,ns,4
Red_Black_Tree,,70000,,,1018495144.0,ns,4
Red_Black_Tree,,70000,,,47611959.0,ns,4
Red_Black_Tree,,70000,,,2733122082.0,ns,4
Red_Black_Tree,,70000,,,42135834.0,ns,4
Red_Black_Tree,,70000,,,50644368.0,ns,4
Red_Black_Tree,,70000,,,45091532.0,ns,4
Red_Black_Tree,,70000,,,50284379.0,ns,4
Red_Black_Tree,,70000,,,270787891.0,ns,4
Red_Black_Tree,,70000,,,156219686.0,ns,4
Red_Black_Tree,,70000,,,354130565.0,ns,4
Red_Black_Tree,,70000,,,931860053.0,ns,4
Red_Black_Tree,,70000,,,41902658.0,ns,4
Red_Black_Tree,,70000,,,547669662.0,ns,4
Red_Black_Tree,,70000,,,46568849.0,ns,4
Red_Black_Tree,,70000,,,469786139.0,ns,4
Red_Black_Tree,,70000,,,364953379.0,ns,4
Red_Black_Tree,,70000,,,528561495.0,ns,4
Red_Black_Tree,,70000,,,351168498.0,ns,4
Red_Black_Tree,,70000,,,427854638.0,ns,4
Red_Black_Tree,,70000,,,2019368344.0,ns,4
Red_Black_Tree,,70000,,,49703609.0,ns,4
Red_Black_Tree,,70000,,,1922349050.0,ns,4
Red_Black_Tree,,70000,,,41375753.0,ns,4
Red_Black_Tree,,70000,,,1808588957.0,ns,4
Red_Black_Tree,,70000,,,55835526.0,ns,4
Red_Black_Tree,,70000,,,43398255.0,ns,4
Red_Black_Tree,,70000,,,48910053.0,ns,4
Red_Black_Tree,,70000,,,1078176480.0,ns,4
Red_Black_Tree,,70000,,,47117841.0,ns,4
Red_Black_Tree,,70000,,,3467425909.0,ns,4
Red_Black_Tree,,70000,,,40662946.0,ns,4
Red_Black_Tree,,70000,,,47334944.0,ns,4
Red_Black_Tree,,70000,,,959784594.0,ns,4
Red_Black_Tree,,70000,,,37048877.0,ns,4
Red_Black_Tree,,70000,,,39045877.0,ns,4
Red_Black_Tree,,70000,,,3658630685.0,ns,4
Red_Black_Tree,,70000,,,34427714.0,ns,4
Red_Black_Tree,,70000,,,38117980.0,ns,4
Red_Black_Tree,,70000,,,44590309.0,ns,4
Red_Black_Tree,,70000,,,47392608.0,ns,4
Red_Black_Tree,,70000,,,1834537975.0,ns,4
Red_Black_Tree,,70000,,,34817498.0,ns,4
Red_Black_Tree,,70000,,,151623053.0,ns,4
Red_Black_Tree,,70000,,,963797942.0,ns,4
Red_Black_Tree,,70000,,,45334141.0,ns,4
Red_Black_Tree,,70000,,,2254779107.0,ns,4
Red_Black_Tree,,70000,,,45926975.0,ns,4
Red_Black_Tree,,70000,,,47511125.0,ns,4
Red_Black_Tree,,70000,,,237327260.0,ns,4
Red_Black_Tree,,70000,,,161053145.0,ns,4
Red_Black_Tree,,70000,,,561875771.0,ns,4
Red_Black_Tree,,70000,,,46107125.0,ns,4
Red_Black_Tree,,70000,,,850319803.0,ns,4
Red_Black_Tree,,70000,,,2028102864.0,ns,4
Red_Black_Tree,,70000,,,51208895.0,ns,4
Red_Black_Tree,,70000,,,49172037.0,ns,4
Red_Black_Tree,,70000,,,158433600.0,ns,4
Red_Black_Tree,,70000,,,889542218.0,ns,4
Red_Black_Tree,,70000,,,168876090.0,ns,4
Red_Black_Tree,,70000,,,865634340.0,ns,4
Red_Black_Tree,,70000,,,37912118.0,ns,4
Red_Black_Tree,,70000,,,498942106.0,ns,4
Red_Black_Tree,,70000,,,35241961.0,ns,4
Red_Black_Tree,,70000,,,484141150.0,ns,4
Red_Black_Tree,,70000,,,610175924.0,ns,4
Red_Black_Tree,,70000,,,1734747558.0,ns,4
