group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AVL_Tree_insert,,70000,,,98892914.0,ns,5
AVL_Tree_insert,,70000,,,199022778.0,ns,10
AVL_Tree_insert,,70000,,,297945346.0,ns,15
AVL_Tree_insert,,70000,,,399369106.0,ns,20
AVL_Tree_insert,,70000,,,497019741.0,ns,25
AVL_Tree_insert,,70000,,,596579347.0,ns,30
AVL_Tree_insert,,70000,,,695312927.0,ns,35
AVL_Tree_insert,,70000,,,797068758.0,ns,40
AVL_Tree_insert,,70000,,,894211303.0,ns,45
AVL_Tree_insert,,70000,,,995386714.0,ns,50
