group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Red_Black_Tree,,40000,,,53869081.0,ns,9
Red_Black_Tree,,40000,,,53848489.0,ns,9
Red_Black_Tree,,40000,,,53979070.0,ns,9
Red_Black_Tree,,40000,,,53428475.0,ns,9
Red_Black_Tree,,40000,,,53836282.0,ns,9
Red_Black_Tree,,40000,,,53751725.0,ns,9
Red_Black_Tree,,40000,,,53726500.0,ns,9
Red_Black_Tree,,40000,,,53941804.0,ns,9
Red_Black_Tree,,40000,,,53799578.0,ns,9
Red_Black_Tree,,40000,,,54154630.0,ns,9
Red_Black_Tree,,40000,,,53475026.0,ns,9
Red_Black_Tree,,40000,,,53693989.0,ns,9
Red_Black_Tree,,40000,,,53880694.0,ns,9
Red_Black_Tree,,40000,,,53700159.0,ns,9
Red_Black_Tree,,40000,,,53726379.0,ns,9
Red_Black_Tree,,40000,,,53923297.0,ns,9
Red_Black_Tree,,40000,,,53788563.0,ns,9
Red_Black_Tree,,40000,,,53771590.0,ns,9
Red_Black_Tree,,40000,,,53838122.0,ns,9
Red_Black_Tree,,40000,,,53897753.0,ns,9
Red_Black_Tree,,40000,,,42026536.0,ns,9
Red_Black_Tree,,40000,,,52785948.0,ns,9
Red_Black_Tree,,40000,,,45405117.0,ns,9
Red_Black_Tree,,40000,,,45931638.0,ns,9
Red_Black_Tree,,40000,,,47416982.0,ns,9
Red_Black_Tree,,40000,,,45819146.0,ns,9
Red_Black_Tree,,40000,,,45337327.0,ns,9
Red_Black_Tree,,40000,,,46483259.0,ns,9
Red_Black_Tree,,40000,,,49656144.0,ns,9
Red_Black_Tree,,40000,,,47051084.0,ns,9
Red_Black_Tree,,40000,,,44362675.0,ns,9
Red_Black_Tree,,40000,,,45851528.0,ns,9
Red_Black_Tree,,40000,,,46624655.0,ns,9
Red_Black_Tree,,40000,,,50935868.0,ns,9
Red_Black_Tree,,40000,,,44554801.0,ns,9
Red_Black_Tree,,40000,,,47488580.0,ns,9
Red_Black_Tree,,40000,,,47339004.0,ns,9
Red_Black_Tree,,40000,,,46631436.0,ns,9
Red_Black_Tree,,40000,,,48113306.0,ns,9
Red_Black_Tree,,40000,,,45031370.0,ns,9
Red_Black_Tree,,40000,,,44268101.0,ns,9
Red_Black_Tree,,40000,,,53120025.0,ns,9
Red_Black_Tree,,40000,,,52661858.0,ns,9
Red_Black_Tree,,40000,,,45678436.0,ns,9
Red_Black_Tree,,40000,,,46758555.0,ns,9
Red_Black_Tree,,40000,,,45673557.0,ns,9
Red_Black_Tree,,40000,,,46369810.0,ns,9
Red_Black_Tree,,40000,,,49484979.0,ns,9
Red_Black_Tree,,40000,,,47597900.0,ns,9
Red_Black_Tree,,40000,,,52342682.0,ns,9
Red_Black_Tree,,40000,,,49117909.0,ns,9
Red_Black_Tree,,40000,,,47809038.0,ns,9
Red_Black_Tree,,40000,,,46476395.0,ns,9
Red_Black_Tree,,40000,,,49063481.0,ns,9
Red_Black_Tree,,40000,,,45737683.0,ns,9
Red_Black_Tree,,40000,,,44604137.0,ns,9
Red_Black_Tree,,40000,,,45505863.0,ns,9
Red_Black_Tree,,40000,,,47433240.0,ns,9
Red_Black_Tree,,40000,,,47974201.0,ns,9
Red_Black_Tree,,40000,,,44307935.0,ns,9
Red_Black_Tree,,40000,,,45580256.0,ns,9
Red_Black_Tree,,40000,,,47652647.0,ns,9
Red_Black_Tree,,40000,,,45612533.0,ns,9
Red_Black_Tree,,40000,,,44213563.0,ns,9
Red_Black_Tree,,40000,,,47271108.0,ns,9
Red_Black_Tree,,40000,,,44613358.0,ns,9
Red_Black_Tree,,40000,,,45659483.0,ns,9
Red_Black_Tree,,40000,,,47931237.0,ns,9
Red_Black_Tree,,40000,,,47170581.0,ns,9
Red_Black_Tree,,40000,,,47510171.0,ns,9
Red_Black_Tree,,40000,,,47151784.0,ns,9
Red_Black_Tree,,40000,,,46555721.0,ns,9
Red_Black_Tree,,40000,,,46174567.0,ns,9
Red_Black_Tree,,40000,,,44762439.0,ns,9
Red_Black_Tree,,40000,,,44964437.0,ns,9
Red_Black_Tree,,40000,,,44682226.0,ns,9
Red_Black_Tree,,40000,,,43589891.0,ns,9
Red_Black_Tree,,40000,,,42395018.0,ns,9
Red_Black_Tree,,40000,,,42778725.0,ns,9
Red_Black_Tree,,40000,,,42635604.0,ns,9
Red_Black_Tree,,40000,,,44634402.0,ns,9
Red_Black_Tree,,40000,,,44624601.0,ns,9
Red_Black_Tree,,40000,,,40939539.0,ns,9
Red_Black_Tree,,40000,,,48452387.0,ns,9
Red_Black_Tree,,40000,,,48891847.0,ns,9
Red_Black_Tree,,40000,,,44241873.0,ns,9
Red_Black_Tree,,40000,,,44184511.0,ns,9
Red_Black_Tree,,40000,,,42715726.0,ns,9
Red_Black_Tree,,40000,,,42551570.0,ns,9
Red_Black_Tree,,40000,,,44244906.0,ns,9
Red_Black_Tree,,40000,,,45159091.0,ns,9
Red_Black_Tree,,40000,,,43610479.0,ns,9
Red_Black_Tree,,40000,,,43458348.0,ns,9
Red_Black_Tree,,40000,,,43594819.0,ns,9
Red_Black_Tree,,40000,,,44051611.0,ns,9
Red_Black_Tree,,40000,,,43976039.0,ns,9
Red_Black_Tree,,40000,,,40344149.0,ns,9
Red_Black_Tree,,40000,,,39845558.0,ns,9
Red_Black_Tree,,40000,,,41958293.0,ns,9
Red_Black_Tree,,40000,,,43210621.0,ns,9
